City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Ilhabela,BR,79.48,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
3,Atuona,PF,78.58,clear sky,-9.8,-139.0333,Villa Enata
4,Avarua,CK,78.8,clear sky,-21.2078,-159.775,Paradise Inn
10,Mocuba,MZ,79.25,overcast clouds,-16.8392,36.9856,Phama Lodge
11,Mangrol,IN,76.12,few clouds,21.1167,70.1167,Hotel The Royal Honours
14,Bathsheba,BB,77.0,scattered clouds,13.2167,-59.5167,Atlantis Hotel
16,Omboue,GA,77.14,light rain,-1.5746,9.2618,Hotel Olako
21,Vaini,TO,78.8,light rain,-21.2,-175.2,Keleti Beach Resort
24,Rikitea,PF,79.45,light rain,-23.1203,-134.9692,Pension Maro'i
29,Arraial Do Cabo,BR,76.39,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
36,Hithadhoo,MV,82.02,broken clouds,-0.6,73.0833,Scoop Guest House
37,Mazagao,BR,77.0,broken clouds,-0.115,-51.2894,Recanto dos Ferreiras
50,Puerto Ayora,EC,78.01,scattered clouds,-0.7393,-90.3518,Castillo Galapagos
54,Tautira,PF,80.6,broken clouds,-17.7333,-149.15,Pension Oaoa
70,Vao,NC,76.1,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
77,Kavieng,PG,84.15,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
80,Tete,MZ,77.0,broken clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
81,Intipuca,SV,75.4,clear sky,13.1969,-88.0544,Tropiclub Playa El Cuco
83,Saint-Philippe,RE,87.8,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
94,Georgetown,MY,89.6,few clouds,5.4112,100.3354,Cititel Penang
95,Port Macquarie,AU,82.0,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
97,Bambous Virieux,MU,87.01,broken clouds,-20.3428,57.7575,Casa Tia Villa
