City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.6001,-73.9662,9.0,51,2,1.01,clear sky
1,Okhotsk,RU,59.3833,143.3,-8.07,85,0,8.93,clear sky
2,Ilhabela,BR,-23.7781,-45.3581,79.48,74,100,2.82,overcast clouds
3,Atuona,PF,-9.8,-139.0333,78.58,76,5,18.03,clear sky
4,Avarua,CK,-21.2078,-159.775,78.8,83,2,3.44,clear sky
5,Vestmannaeyjar,IS,63.4427,-20.2734,34.68,85,100,10.16,overcast clouds
6,Aklavik,CA,68.2191,-135.0107,-29.2,68,96,3.44,overcast clouds
7,Ostrovnoy,RU,68.0531,39.5131,9.09,94,100,17.09,light snow
8,Punta Arenas,CL,-53.15,-70.9167,46.4,87,90,9.22,overcast clouds
9,Zaozerne,UA,45.1582,33.2787,46.99,62,93,7.0,overcast clouds
10,Mocuba,MZ,-16.8392,36.9856,79.25,89,93,2.24,overcast clouds
11,Mangrol,IN,21.1167,70.1167,76.12,22,23,7.87,few clouds
12,Kodiak,US,57.79,-152.4072,33.8,60,1,13.8,clear sky
13,Hobart,AU,-42.8794,147.3294,72.0,63,40,20.71,scattered clouds
14,Bathsheba,BB,13.2167,-59.5167,77.0,73,40,11.5,scattered clouds
15,American Canyon,US,38.1749,-122.2608,48.0,87,40,3.44,scattered clouds
16,Omboue,GA,-1.5746,9.2618,77.14,90,99,5.12,light rain
17,Tuktoyaktuk,CA,69.4541,-133.0374,-38.2,74,1,2.3,clear sky
18,Nome,US,64.5011,-165.4064,-5.8,65,1,21.85,clear sky
19,Port Alfred,ZA,-33.5906,26.891,69.01,78,28,3.0,scattered clouds
20,Kilgore,US,32.3863,-94.8758,53.01,71,75,9.22,broken clouds
21,Vaini,TO,-21.2,-175.2,78.8,94,90,5.75,light rain
22,Lasa,IT,46.6166,10.7002,30.0,86,0,4.61,clear sky
23,Upernavik,GL,72.7868,-56.1549,-8.81,86,13,9.71,few clouds
24,Rikitea,PF,-23.1203,-134.9692,79.45,76,36,11.1,light rain
25,Hilo,US,19.7297,-155.09,71.6,83,90,4.47,light rain
26,Wexford,IE,52.3342,-6.4575,44.01,98,100,14.0,moderate rain
27,Bluff,NZ,-46.6,168.3333,54.19,75,0,13.6,clear sky
28,Henties Bay,NA,-22.116,14.2845,68.0,80,86,5.01,overcast clouds
29,Arraial Do Cabo,BR,-22.9661,-42.0278,76.39,85,58,23.89,broken clouds
30,Sorland,NO,67.667,12.6934,29.79,88,56,7.74,broken clouds
31,Cabo San Lucas,MX,22.8909,-109.9124,66.2,77,1,2.3,clear sky
32,Balkanabat,TM,39.5108,54.3671,55.98,39,100,3.13,overcast clouds
33,Pevek,RU,69.7008,170.3133,-29.49,86,38,4.61,scattered clouds
34,Bredasdorp,ZA,-34.5322,20.0403,66.99,82,83,7.72,broken clouds
35,Fairbanks,US,64.8378,-147.7164,0.0,76,1,2.59,clear sky
36,Hithadhoo,MV,-0.6,73.0833,82.02,76,57,13.85,broken clouds
37,Mazagao,BR,-0.115,-51.2894,77.0,100,75,3.44,broken clouds
38,Clyde River,CA,70.4692,-68.5914,-22.0,76,1,5.75,clear sky
39,Mar Del Plata,AR,-38.0023,-57.5575,66.99,88,75,5.75,broken clouds
40,Chernyshevskiy,RU,63.0128,112.4714,-36.89,82,89,4.47,overcast clouds
41,Victoria,HK,22.2855,114.1577,68.0,65,0,1.99,clear sky
42,Arman,RU,59.7,150.1667,-15.0,77,39,13.18,scattered clouds
43,Concepcion Del Oro,MX,24.6333,-101.4167,50.58,48,20,3.98,few clouds
44,Cape Town,ZA,-33.9258,18.4232,73.0,64,75,5.75,broken clouds
45,East London,ZA,-33.0153,27.9116,71.6,78,20,6.91,few clouds
46,Urengoy,RU,65.9667,78.3667,-37.57,79,1,1.45,clear sky
47,Busselton,AU,-33.65,115.3333,91.0,32,0,4.0,clear sky
48,Hachinohe,JP,40.5,141.5,28.0,71,65,5.01,broken clouds
49,Nanortalik,GL,60.1432,-45.2371,33.08,89,99,8.84,overcast clouds
50,Puerto Ayora,EC,-0.7393,-90.3518,78.01,92,28,5.99,scattered clouds
51,Carnarvon,AU,-24.8667,113.6333,91.4,58,0,14.97,clear sky
52,Nikolskoye,RU,59.7035,30.7861,30.2,93,90,6.71,light snow
53,Mataura,NZ,-46.1927,168.8643,64.18,53,0,3.53,clear sky
54,Tautira,PF,-17.7333,-149.15,80.6,69,75,3.44,broken clouds
55,Ilulissat,GL,69.2167,-51.1,1.4,55,0,6.91,clear sky
56,Cidreira,BR,-30.1811,-50.2056,74.64,89,9,5.68,clear sky
57,Vazante,BR,-17.9869,-46.9078,68.49,74,100,1.54,overcast clouds
58,Koulikoro,ML,14.0,-7.75,64.72,24,27,9.89,scattered clouds
59,Saskylakh,RU,71.9167,114.0833,-37.88,76,0,4.43,clear sky
60,Praia Da Vitoria,PT,38.7333,-27.0667,61.0,88,40,18.34,scattered clouds
61,West Plains,US,36.7281,-91.8524,39.2,70,1,9.22,clear sky
62,Ayan,RU,56.45,138.1667,-3.33,87,100,3.38,overcast clouds
63,Torbat-E Jam,IR,35.244,60.6225,54.19,35,71,6.53,broken clouds
64,Dikson,RU,73.5069,80.5464,-34.76,83,87,8.75,overcast clouds
65,Yeniseysk,RU,58.4497,92.1703,-21.73,82,78,4.18,broken clouds
66,Corrales,US,35.2378,-106.6067,44.01,57,91,7.0,overcast clouds
67,Kapaa,US,22.0752,-159.319,73.4,78,75,20.71,light rain
68,Broome,US,42.2506,-75.833,10.99,85,90,5.75,light snow
69,Chuy,UY,-33.6971,-53.4616,66.9,94,14,2.37,few clouds
70,Vao,NC,-22.6667,167.4833,76.1,75,21,19.71,few clouds
71,Diamantino,BR,-14.4086,-56.4461,72.18,82,100,3.62,moderate rain
72,Miyako,JP,39.6367,141.9525,32.2,81,1,22.59,clear sky
73,Honningsvag,NO,70.9821,25.9704,26.85,94,100,17.65,overcast clouds
74,Chapais,CA,49.7834,-74.8492,-2.2,84,90,5.75,light snow
75,Chingirlau,KZ,51.095,54.0814,28.42,98,87,2.21,overcast clouds
76,Batsfjord,NO,70.6345,29.7185,25.09,96,100,19.75,light snow
77,Kavieng,PG,-2.5744,150.7967,84.15,77,86,13.6,overcast clouds
78,Pacific Grove,US,36.6177,-121.9166,46.0,87,1,4.61,clear sky
79,Tiksi,RU,71.6872,128.8694,-28.7,86,100,5.75,overcast clouds
80,Tete,MZ,-16.1564,33.5867,77.0,88,75,5.26,broken clouds
81,Intipuca,SV,13.1969,-88.0544,75.4,59,2,5.91,clear sky
82,Barrow,US,71.2906,-156.7887,-11.2,70,90,8.05,light snow
83,Saint-Philippe,RE,-21.3585,55.7679,87.8,55,0,11.5,clear sky
84,Nioro,GM,13.35,-15.75,66.6,21,0,5.17,clear sky
85,Hermanus,ZA,-34.4187,19.2345,66.99,82,62,7.05,broken clouds
86,Kidal,ML,18.4411,1.4078,58.95,29,0,13.82,clear sky
87,Martaban,MM,16.5314,97.6111,90.25,45,1,5.86,clear sky
88,Guiratinga,BR,-16.3494,-53.7583,71.65,87,100,2.93,overcast clouds
89,Beringovskiy,RU,63.05,179.3167,-19.46,83,1,9.13,clear sky
90,Zyryanka,RU,65.75,150.85,-28.41,84,100,11.21,overcast clouds
91,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,24.8,54,20,8.95,light snow
92,Linfen,CN,36.0889,111.5189,47.7,39,89,6.49,overcast clouds
93,Qaanaaq,GL,77.484,-69.3632,-12.87,63,10,5.7,clear sky
94,Georgetown,MY,5.4112,100.3354,89.6,51,20,5.75,few clouds
95,Port Macquarie,AU,-31.4333,152.9167,82.0,70,77,1.01,broken clouds
96,Ushuaia,AR,-54.8,-68.3,41.0,81,75,16.11,broken clouds
97,Bambous Virieux,MU,-20.3428,57.7575,87.01,70,75,12.66,broken clouds
98,Coahuayana,MX,18.7333,-103.6833,73.74,68,92,2.71,overcast clouds
99,Zeya,RU,53.75,127.2667,-15.12,83,69,3.51,broken clouds
100,Olafsvik,IS,64.8945,-23.7142,28.26,97,100,18.14,light snow
101,Touros,BR,-5.1989,-35.4608,77.0,83,40,3.44,scattered clouds
102,Maryville,US,35.7565,-83.9705,30.99,74,1,3.44,clear sky
103,Superior,US,46.7208,-92.1041,26.6,54,90,5.75,overcast clouds
104,Norman Wells,CA,65.282,-126.8329,-31.0,75,75,3.76,broken clouds
105,Saint George,US,37.1041,-113.5841,39.0,87,40,4.61,scattered clouds
106,Richards Bay,ZA,-28.783,32.0377,79.03,75,48,2.59,scattered clouds
107,Mahebourg,MU,-20.4081,57.7,86.0,70,75,12.66,broken clouds
108,Berlevag,NO,70.8578,29.0864,26.55,96,100,22.91,light snow
109,Ponta Do Sol,PT,32.6667,-17.1,57.0,75,46,3.0,scattered clouds
110,Butaritari,KI,3.0707,172.7902,80.62,76,100,13.69,overcast clouds
111,Merauke,ID,-8.4667,140.3333,83.91,75,100,17.25,overcast clouds
112,Caravelas,BR,-17.7125,-39.2481,74.16,87,1,4.47,clear sky
113,Sarai Alamgir,PK,32.9012,73.7559,55.4,62,20,2.33,smoke
114,Menongue,AO,-14.6585,17.691,63.61,91,66,3.85,broken clouds
115,Port Blair,IN,11.6667,92.75,83.68,66,14,11.21,few clouds
116,Sitka,US,57.0531,-135.33,39.2,56,90,13.8,light snow
117,Ilo,PE,-17.6394,-71.3375,67.33,80,4,6.06,clear sky
118,Necochea,AR,-38.5473,-58.7368,63.0,74,68,11.56,broken clouds
